Song-Number,Song,Artist,Song-Preview,Spotify-Link,Image,Release-Date,Lyric
1,The People in Your Neighborhood,Sesame Street,one.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,one.jpg,1970,"A teacher works the whole day through / To teach important things to you
/ He'll teach you things you won't forget
/ Like numbers and the alphabet"
2,You've Got a Friend in Me,Rex Orange County and Randy Newman ,two.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,two.jpg,2018,"You've got troubles, I've got 'em too / There isn't anything I wouldn't do for you / We stick together and we see it through / You've got a friend in me"
3,Light On,Maggie Rogers,three.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,three.jpg,2018,"And I am finding out / 
There's just no other way / 
That I'm still dancing at the end of the day / 
If you leave the light on / 
Then I'll leave the light on"
4,(What A) Wonderful World,Sam Cooke,four.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,four.jpg,1960,"But I do know one and one is two / 
And if this one could be with you / 
What a wonderful world this would be"
5,We Got It,Mikala,five.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,five.jpg,2017,"When the music plays we're right at home / 
And maybe sometimes we're still out of place / 
Lost in the space on my mind / 
But still the record place
We'll find a way"
6,Love You For A Long Time,Maggie Rogers,six.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,six.jpg,2020,"And in the morning when I'm waking up / 
I swear that you're the first thing that I'm thinking of / I feel it in my body, know it in my mind / 
Oh I, I'm gonna love you for a long time"
7,Lean on Me,Bill Withers,eight.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,eight.jpg,1972,"Lean on me, when you're not strong /
And I'll be your friend /
I'll help you carry on /
For it won't be long /
'Til I'm gonna need /
Somebody to lean on"
8,Treat People With Kindness,Harry Styles,nine.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,nine.jpg,2019,"Maybe, we can / 
Find a place to feel good / 
And we can treat people with kindness / 
Find a place to feel good"
9,I'll Be There,The Jackson 5,ten.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,ten.jpg,1970,"I'll reach out my hand to you / 
I'll have faith in all you do / 
Just call my name and I'll be there (I'll be there)"
10,Count on Me,Bruno Mars,eleven.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,eleven.jpg,2010,"You can count on me like one two three / 
I'll be there 
And I know when I need it I can count on you like / four three two / 
You'll be there / 
'Cause that's what friends are supposed to do, oh yeah"
11,Try A Little Kindess,Glen Campbell,twelve.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,twelve.jpg,1970,"You got to try a little kindness / 
Yes show a little kindness / 
Just shine your light for everyone to see / 
And if you try a little kindness / 
Then you'll overlook the blindness / 
Of narrow-minded people on the narrow-minded streets"
12,Thank you for Being a Friend,Andrew Gold,thirteen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,thirteen.jpg,1978,"Thank you for being a friend / 
Traveled down a road and back again /
Your heart is true, you're a pal and a confidant"
13,I Know A Place,MUNA,fourteen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,fourteen.jpg,2016,"I know a place (ooh) / 
I know a place we can go (yeah) / 
Where everyone gonna lay down their weapon / 
Lay down their weapon /
Just give me trust and watch what'll happen"
14,With A Little Help From My Friends,The Beatles,fifteen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,fifteen.jpg,1967,"Oh, I get by with a little help from my friends / 
Mm, I get high with a little help from my friends / 
Mm, gonna try with a little help from my friends"
15,Stand by Me,Ben E. King,sixteen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,sixteen.jpg,1961,"When the night has come / 
And the land is dark / 
And the moon is the only light we'll see /
No I won't be afraid / 
Oh, I won't be afraid / 
Just as long as you stand, stand by me"
16,Surround Me,LÃ‰ON,seventeen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,seventeen.jpg,2017,"Don't overthink it /
Just finish up your drink /
And surround me, surround me"
17,You've Got a Friend,Carole King,eighteen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,eighteen.jpg,1971,"Winter, spring, summer or fall /
All you've got to do is call / 
And I'll be there, ye, ye, ye /
You've got a friend"
18,One Love / People Get Ready,Bob Marley & The Wailers,nineteen.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,nineteen.jpg,2001,"One love / 
One heart / 
Let's get together and feel alright"
19,Everyday People,Sly & The Family Stone,twenty.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,twenty.jpg,1969,"And different strokes for different folks / 
And so on and so on and scooby dooby doo-bee /
Ooh, sha sha / 
We got to live together"
20,Won't You Be My Neighbor?,Fred Rogers,twenty1.mp3,https://open.spotify.com/playlist/49FfDePrjbUMd7luM1m97L?si=jcOqbOldS6ylAZ_FzU7k0A,twenty1.jpg,1967,"Let's make the most of this beautiful day /
Since we're together, might as well say /
Would you be my, could you be my /
Won't you be my neighbor?"